Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
JournalMotors,sedan,4,2002,"72,441 SAR",2007,"32,207 SAR",262958,11.81,2WD,standard,Dhahran,1,2,White,company,0
JournalMotors,suv,6,2000,"104,443 SAR",2005,"44,113 SAR",104910,3150.0mpl,2WD,STANDARD,Madinah,4,4,White,individual,0
Honta,suv,4,2006,"141,144 SAR",2011,"72,826 SAR",107520,13.76,4WD,premium,Madinah,5,3,Gray,individual,1
Nesshan,sedan,4,2002,"51,744 SAR",2009,"29,882 SAR",68924,23.14,2WD,standard,Madinah,3,2,Blue,individual,0
Nesshan,crossover,8,2003,"63,334 SAR",2006,"43,890 SAR",58607,8.16,2WD,standard,Jeddah,3,1,Silver Color,individual,0
JournalMotors,crossover,6,1992,"85,575 SAR",1997,"42,274 SAR",52676,6.56,4WD,standard,Jeddah,2,-2,Gray,company,0
Toyoda,suv,4,2002,"93,139 SAR",2009,"53,554 SAR",151861,13.52,2WD,standard,Riyadh,3,1,Color Black,individual,0
Nesshan,crossover,8,2005,"65,893 SAR",2011,"31,056 SAR",247713,12020.0mpl,2WD,STANDARD,Madinah,5,2,Gray,individual,1
Huendae,suv,4,2006,"84,014 SAR",2012,"44,107 SAR",116453,8690.0mpl,2WD,standard,Jeddah,1,3,White,individual,0
Nesshan,sedan,4,1992,,1997,"21,797 SAR",202609,20.63,2WD,standard,Jeddah,4,2,White Color,company,0
Fourd,sedan,4,1996,,2000,"32,368 SAR",134019,6.2,2WD,STANDARD,Jeddah,13,2,Blue,individual,1
Honta,crossover,4,1992,"71,313 SAR",1998,"35,380 SAR",51625,13260.0mpl,2WD,premium,Jeddah,6,1,Red Color,individual,1
Toyoda,suv,4,1995,"81,083 SAR",2000,"45,820 SAR",85740,10.69,2WD,standard,Jeddah,5,2,Blue,individual,1
JournalMotors,suv,4,2003,"110,836 SAR",2008,"49,277 SAR",107661,6.01,2WD,standard,Makkah,5,3,Red Color,individual,0
Shevy,sedan,6,2003,"73,890 SAR",2007,"37,273 SAR",74692,9.2,2WD,STANDARD,Madinah,7,2,Silver Color,individual,0
Shevy,sedan,4,2005,"76,875 SAR",2010,"34,178 SAR",97758,8830.0mpl,2WD,standard,Jeddah,11,2,Silver Color,company,0
Toyoda,crossover,4,2001,"102,271 SAR",2008,"55,306 SAR",339393,17.64,2WD,PREMIUM,Dammam,6,3,White Color,individual,0
Huendae,suv,6,1998,"86,046 SAR",2002,"50,373 SAR",32044,14.88,4WD,standard,Madinah,5,-3,Brown,individual,1
Fourd,sedan,4,2001,,2005,"50,157 SAR",92256,11.47,2WD,PREMIUM,Makkah,7,-3,Gray,company,0
Toyoda,crossover,4,2001,,2006,"57,662 SAR",98547,20270.0mpl,4WD,standard,Riyadh,3,-5,Gray,individual,0
Toyoda,sedan,4,2007,,2012,"40,585 SAR",91420,18180.0mpl,2WD,standard,Jeddah,5,1,Gray Color,individual,0
Honta,sedan,4,1996,"45,947 SAR",2003,"23,821 SAR",291790,17.3,2WD,STANDARD,Dammam,5,3,Blue,individual,1
Shevy,suv,4,2001,"127,838 SAR",2007,"51,918 SAR",265967,2.54,4WD,standard,Makkah,6,-3,Gray,individual,0
Toyoda,suv,4,2005,,2010,"62,061 SAR",79957,8.0,2WD,standard,Madinah,0,2,Black,company,1
JournalMotors,crossover,4,1999,,2004,"48,438 SAR",235907,5810.0mpl,2WD,premium,Riyadh,8,2,White Color,individual,0
JournalMotors,suv,4,1998,"100,387 SAR",2000,"59,523 SAR",77239,4200.0mpl,2WD,STANDARD,Dhahran,7,-2,Red Color,individual,0
Shevy,suv,4,2002,"108,662 SAR",2007,"50,726 SAR",99668,4.82,2WD,standard,Dhahran,7,2,Color Black,company,1
Nesshan,suv,4,2005,"82,367 SAR",2013,"24,401 SAR",326444,16.85,2WD,standard,Makkah,10,2,Gray Color,individual,0
Wolksvagon,suv,6,1999,"87,767 SAR",2004,"47,236 SAR",99375,8.46,2WD,standard,Dammam,6,3,Silver,individual,0
JournalMotors,suv,4,1997,"98,419 SAR",2005,"26,506 SAR",150093,3.99,2WD,standard,Jeddah,8,3,Gray,individual,1
JournalMotors,sedan,8,2001,"71,021 SAR",2005,"41,797 SAR",88404,4.07,2WD,STANDARD,Madinah,1,1,Black,individual,1
Toyoda,suv,4,1993,,1996,"63,725 SAR",106761,8.24,4WD,standard,Dhahran,6,-2,Color Black,individual,1
Masda,crossover,4,1996,"55,136 SAR",2000,"30,741 SAR",73669,10.46,2WD,standard,Dammam,11,-5,Color Black,individual,0
Nesshan,sedan,6,2003,"63,334 SAR",2007,"45,316 SAR",43651,19.89,4WD,STANDARD,Jeddah,3,-5,Black,individual,1
Fourd,suv,4,1999,"102,395 SAR",2005,"43,773 SAR",67035,8.16,2WD,standard,Dammam,5,2,Black,individual,0
Shevy,crossover,8,1995,,2002,"43,136 SAR",145329,3.84,4WD,STANDARD,Jeddah,3,1,Silver Color,individual,0
Toyoda,sedan,4,2005,"65,893 SAR",2010,"33,690 SAR",195074,12980.0mpl,2WD,standard,Dammam,7,3,Silver Color,individual,0
Wolksvagon,sedan,4,2005,"92,251 SAR",2007,"69,525 SAR",75707,14.83,2WD,PREMIUM,Dammam,5,1,White,individual,1
Shevy,suv,4,1996,"96,489 SAR",2003,"43,311 SAR",78501,3.41,2WD,standard,Makkah,6,1,Blue,individual,1
Shevy,suv,4,1992,"89,141 SAR",2000,"22,864 SAR",77554,4.88,2WD,STANDARD,Jeddah,8,2,Gray,individual,0
Masda,sedan,4,2004,"53,834 SAR",2012,"14,498 SAR",302029,13.92,2WD,standard,Dhahran,9,-5,Gray,individual,0
Nesshan,suv,8,1997,"98,419 SAR",2000,"64,453 SAR",61955,4.38,2WD,premium,Dammam,7,2,Gray,company,1
Honta,sedan,4,2005,,2006,"54,796 SAR",11533,20.68,4WD,STANDARD,Madinah,11,1,Color Black,company,0
Toyoda,suv,6,2002,,2008,"48,199 SAR",62351,9.53,2WD,STANDARD,Jeddah,6,3,Gray Color,individual,0
Masda,suv,8,2002,,2007,"38,140 SAR",43906,5.25,2WD,standard,Dammam,9,-5,Silver,individual,0
Masda,crossover,4,2004,,2005,"64,467 SAR",20168,16.55,4WD,standard,Makkah,5,3,Black,company,0
Shevy,sedan,4,1994,"74,194 SAR",1997,"41,867 SAR",26310,10.6,4WD,STANDARD,Jeddah,6,2,White Color,individual,0
Fourd,sedan,4,2007,"79,981 SAR",2009,"55,328 SAR",89247,6.17,2WD,standard,Jeddah,2,1,Gray,individual,1
Masda,suv,4,1994,,2001,"37,560 SAR",147643,9490.0mpl,4WD,standard,Madinah,4,3,Color Black,individual,0
JournalMotors,crossover,4,2008,"117,477 SAR",2013,"52,230 SAR",102887,11.24,4WD,standard,Dhahran,4,-5,Black,individual,0
Fourd,sedan,4,1999,"68,263 SAR",2003,"34,435 SAR",27809,10.25,2WD,STANDARD,Dhahran,7,3,Color Blue,company,0
Toyoda,suv,4,1996,"115,787 SAR",2001,"62,316 SAR",114524,8.73,2WD,premium,Jeddah,4,2,White,individual,0
Fourd,suv,8,2000,"125,332 SAR",2001,"85,727 SAR",18063,4680.0mpl,4WD,standard,Jeddah,11,2,Gray Color,individual,0
Fourd,suv,8,2007,,2010,"113,736 SAR",72449,3.34,4WD,premium,Riyadh,4,2,Black,company,0
Toyoda,suv,4,2000,"89,522 SAR",2004,"51,933 SAR",180455,12.64,2WD,STANDARD,Jeddah,6,-2,White,individual,0
Nesshan,suv,6,2000,"74,602 SAR",2008,"19,034 SAR",417062,10.07,2WD,standard,Jeddah,8,-3,White,company,0
Fourd,crossover,4,2002,"121,702 SAR",2009,"51,897 SAR",293863,4.99,2WD,PREMIUM,Jeddah,12,2,Silver,individual,1
Toyoda,crossover,6,2005,"79,072 SAR",2013,"24,620 SAR",297439,6.98,2WD,standard,Dhahran,3,4,Black,individual,0
Shevy,suv,6,1999,"102,395 SAR",2006,"41,585 SAR",245769,3.95,2WD,standard,Riyadh,6,3,Color Blue,individual,0
Shevy,sedan,4,1996,"77,191 SAR",2000,"38,841 SAR",163348,7.73,4WD,standard,Dhahran,10,1,Blue,individual,1
Shevy,suv,4,2002,,2007,"57,973 SAR",68832,7.35,4WD,STANDARD,Riyadh,8,2,Color Black,individual,0
JournalMotors,suv,4,2003,"133,003 SAR",2009,"54,015 SAR",104815,8.88,4WD,standard,Dammam,4,4,Silver,individual,0
Toyoda,sedan,6,2000,"59,681 SAR",2002,"49,601 SAR",19252,17400.0mpl,2WD,STANDARD,Dammam,5,2,Gray,company,0
Toyoda,sedan,4,2007,,2012,"47,350 SAR",117482,16.19,2WD,standard,Riyadh,2,-3,Red,individual,1
Masda,suv,8,2005,,2012,"49,036 SAR",60824,3.41,4WD,STANDARD,Madinah,11,-5,White,individual,1
Honta,suv,8,2000,"125,332 SAR",2005,"65,009 SAR",247930,6860.0mpl,4WD,premium,Jeddah,3,3,Blue,individual,0
BeEmW,sedan,6,2001,"71,021 SAR",2004,"44,418 SAR",98796,5.97,2WD,standard,Dammam,1,2,Color Black,individual,1
Huendae,crossover,8,1995,"54,055 SAR",1997,"37,289 SAR",14765,11.85,2WD,standard,Jeddah,4,-3,White Color,individual,0
JournalMotors,crossover,4,1998,"112,434 SAR",2002,"66,170 SAR",68849,9.09,2WD,premium,Riyadh,2,-5,Gray,individual,1
Toyoda,crossover,4,1992,,1996,"37,325 SAR",209781,10.95,2WD,standard,Jeddah,3,3,Black,individual,0
Shevy,suv,4,2006,,2013,"52,796 SAR",132670,4.37,2WD,STANDARD,Jeddah,5,-2,White,individual,1
Toyoda,crossover,4,2005,"79,072 SAR",2011,"42,965 SAR",121013,13.08,2WD,standard,Madinah,11,-3,Silver Color,individual,1
Huendae,sedan,4,2003,"52,779 SAR",2009,"28,883 SAR",208338,20.23,2WD,STANDARD,Madinah,2,4,Black,company,1
Shevy,suv,8,2003,,2006,"99,821 SAR",97187,3.85,4WD,PREMIUM,Makkah,9,-2,Gray,individual,0
Toyoda,sedan,4,2005,,2010,"40,960 SAR",42224,17.18,2WD,standard,Dammam,7,1,Silver,individual,1
Fourd,suv,4,2007,,2013,"75,393 SAR",48345,5.54,2WD,premium,Dhahran,4,-5,Gray,individual,1
Shevy,suv,8,1993,,1996,"61,570 SAR",24227,4.72,4WD,STANDARD,Dammam,11,2,Black,individual,0
JournalMotors,suv,8,2001,"106,532 SAR",2002,"80,964 SAR",8432,4600.0mpl,2WD,standard,Riyadh,3,-3,Blue,company,0
Honta,suv,8,2006,,2011,"57,798 SAR",81797,4.91,4WD,STANDARD,Dhahran,1,1,Black,individual,1
Honta,sedan,4,2000,"69,628 SAR",2004,"45,075 SAR",197695,16.23,2WD,PREMIUM,Makkah,3,2,Brown,individual,0
Huendae,suv,4,2004,,2010,"40,063 SAR",129867,10240.0mpl,2WD,standard,Dhahran,8,2,Gray,company,1
Fourd,suv,8,1996,,2001,"48,904 SAR",213010,2.44,4WD,standard,Dammam,7,2,Gray,company,0
Masda,crossover,4,2004,"64,601 SAR",2008,"35,928 SAR",162246,14.21,2WD,STANDARD,Dhahran,6,-5,White,individual,1
Shevy,sedan,4,2003,"88,668 SAR",2005,"61,491 SAR",20175,5520.0mpl,4WD,standard,Riyadh,2,2,Silver Color,individual,0
JournalMotors,crossover,4,1997,"94,482 SAR",2002,"39,906 SAR",194306,10170.0mpl,4WD,standard,Makkah,5,-2,Red,individual,0
Honta,sedan,4,2009,"59,437 SAR",2017,"18,535 SAR",73241,26.12,2WD,standard,Riyadh,6,2,Gray,individual,0
Honta,crossover,4,2001,"60,875 SAR",2006,"36,561 SAR",59445,19.44,2WD,standard,Makkah,3,-3,Red,individual,0
Fourd,sedan,8,2008,"81,581 SAR",2013,"36,180 SAR",176030,7230.0mpl,2WD,standard,Makkah,7,-3,Silver,individual,1
Fourd,sedan,4,2005,,2010,"41,014 SAR",91771,7.37,4WD,standard,Makkah,6,2,Silver,individual,0
Masda,suv,8,1995,"81,083 SAR",2001,"38,311 SAR",106047,3.76,4WD,standard,Riyadh,5,2,Black,company,0
JournalMotors,suv,4,2000,"125,332 SAR",2007,"53,579 SAR",72647,5.84,4WD,STANDARD,Dammam,9,1,Gray,individual,0
JournalMotors,suv,6,2009,,2013,"92,558 SAR",24449,5.28,2WD,premium,Madinah,5,2,Red,company,1
Toyoda,sedan,4,1992,,1997,"30,155 SAR",112848,23500.0mpl,2WD,STANDARD,Riyadh,11,1,Blue,individual,0
Toyoda,suv,6,1992,"76,406 SAR",1995,"52,192 SAR",58478,10.57,2WD,standard,Jeddah,11,-2,Silver,individual,0
Fourd,crossover,4,2004,"126,619 SAR",2010,"54,129 SAR",52786,7930.0mpl,2WD,PREMIUM,Jeddah,9,-5,White Color,individual,0
Toyoda,crossover,6,2002,"89,414 SAR",2005,"64,132 SAR",47318,9.69,4WD,STANDARD,Dammam,5,-2,White,individual,1
Huendae,sedan,4,2004,"53,834 SAR",2008,"34,850 SAR",144147,21.21,2WD,standard,Jeddah,3,-3,Gray,individual,0
Shevy,suv,6,1997,"118,103 SAR",2001,"62,555 SAR",87631,4860.0mpl,4WD,standard,Dammam,4,3,Red Color,company,1
Toyoda,sedan,4,2003,,2007,"38,674 SAR",26396,14830.0mpl,2WD,standard,Makkah,9,3,Brown,company,0
Toyoda,sedan,6,2001,,2004,"49,900 SAR",58108,11.72,4WD,standard,Madinah,6,2,Color Blue,individual,0
Huendae,sedan,6,1995,"54,055 SAR",2000,"26,496 SAR",117691,13900.0mpl,4WD,standard,Madinah,4,4,Gray Color,individual,1
Honta,sedan,4,2005,"76,875 SAR",2008,"50,344 SAR",33424,14510.0mpl,2WD,PREMIUM,Jeddah,9,-5,Silver,individual,1
Masda,suv,4,2005,"82,367 SAR",2009,"51,026 SAR",69538,13.91,2WD,standard,Dhahran,2,2,Gray Color,individual,0
Honta,sedan,4,2005,"65,893 SAR",2010,"35,617 SAR",96389,18.54,4WD,standard,Dammam,7,2,Blue,individual,0
JournalMotors,suv,4,2002,"108,662 SAR",2007,"48,311 SAR",114590,4820.0mpl,2WD,standard,Dhahran,8,-3,Silver,company,0
Huendae,suv,6,2004,,2010,"60,895 SAR",222853,6.52,4WD,premium,Makkah,5,3,White Color,company,0
Shevy,crossover,4,2002,"104,316 SAR",2006,"49,991 SAR",131298,10.53,4WD,standard,Riyadh,4,2,White Color,individual,0
Fourd,crossover,6,2004,"90,442 SAR",2011,"38,663 SAR",72128,3.43,2WD,standard,Jeddah,6,-5,Black,individual,0
BeEmW,suv,4,2007,,2013,"61,545 SAR",302699,8.06,4WD,standard,Jeddah,3,2,Gray,individual,0
Honta,crossover,6,2003,"63,334 SAR",2009,"31,421 SAR",124017,8.72,2WD,standard,Dhahran,8,1,Blue,company,1
Fourd,suv,6,1992,"89,141 SAR",2000,"21,721 SAR",309509,4.76,2WD,standard,Riyadh,11,2,White,company,0
Shevy,sedan,4,1997,"65,612 SAR",2004,"26,580 SAR",298973,4.72,2WD,standard,Jeddah,11,4,White,individual,1
Toyoda,crossover,4,2003,,2004,"62,928 SAR",20754,12.6,2WD,standard,Dhahran,12,2,Gray,individual,0
Wolksvagon,crossover,4,2009,"85,590 SAR",2013,"49,652 SAR",167671,10370.0mpl,2WD,standard,Makkah,13,3,White,individual,0
Fourd,suv,8,2004,,2011,"71,421 SAR",261329,3210.0mpl,2WD,PREMIUM,Riyadh,2,-5,Gray,company,0
Toyoda,sedan,4,1997,"78,735 SAR",2000,"59,162 SAR",28943,16110.0mpl,2WD,PREMIUM,Riyadh,7,2,Black,company,0
JournalMotors,suv,4,2005,"115,313 SAR",2014,"32,864 SAR",157829,5.66,2WD,standard,Dhahran,3,1,White Color,individual,0
Masda,crossover,6,2004,"90,442 SAR",2011,"47,363 SAR",290031,7.48,2WD,premium,Makkah,1,-2,Gray Color,individual,1
JournalMotors,suv,4,2004,"113,052 SAR",2011,"50,746 SAR",149452,7020.0mpl,2WD,standard,Madinah,8,2,Black,company,1
Mercetes,sedan,4,2003,,2007,"37,180 SAR",168679,8.42,2WD,standard,Madinah,5,-3,Blue,individual,1
Wolksvagon,sedan,4,2006,"67,211 SAR",2010,"45,602 SAR",40986,10.98,2WD,standard,Dammam,2,-3,Silver Color,individual,0
Nesshan,sedan,4,2003,"73,890 SAR",2007,"43,051 SAR",141243,18.79,2WD,premium,Madinah,6,1,Gray Color,individual,0
BeEmW,suv,6,1998,"100,387 SAR",2005,"45,061 SAR",154445,4800.0mpl,2WD,standard,Dammam,4,-3,White Color,individual,1
BeEmW,suv,4,1992,,1994,"66,764 SAR",20900,8.33,4WD,standard,Madinah,5,-5,Silver Color,company,0
Huendae,sedan,8,1993,"51,956 SAR",2001,"14,729 SAR",170288,12.13,4WD,STANDARD,Riyadh,8,2,Red,individual,0
Huendae,sedan,4,2007,,2009,"41,183 SAR",97291,26700.0mpl,2WD,standard,Madinah,5,2,Silver Color,company,0
Mercetes,sedan,4,2000,"97,480 SAR",2006,"41,672 SAR",136877,10770.0mpl,2WD,premium,Makkah,12,-5,Gray,company,0
Huendae,sedan,8,2007,"57,129 SAR",2014,"28,343 SAR",135134,10.94,2WD,standard,Dhahran,4,2,Blue,company,1
Honta,crossover,6,1992,"50,937 SAR",1998,"25,271 SAR",49440,12.0,2WD,standard,Makkah,6,-2,White,company,1
Shevy,crossover,4,2005,"110,701 SAR",2009,"53,050 SAR",166638,5.76,4WD,standard,Dammam,4,2,White,company,0
Nesshan,sedan,4,1996,,2003,"26,534 SAR",120980,16.91,2WD,standard,Madinah,2,2,Gray,individual,0
JournalMotors,suv,4,1994,"111,291 SAR",1998,"56,140 SAR",74786,4.73,4WD,STANDARD,Makkah,6,2,Red Color,company,0
JournalMotors,suv,6,1992,"89,141 SAR",1995,"50,176 SAR",114803,3.47,2WD,standard,Jeddah,4,-2,Black,individual,1
Shevy,suv,4,2006,"117,620 SAR",2011,"52,293 SAR",34249,4730.0mpl,2WD,standard,Riyadh,9,3,Gray,company,0
JournalMotors,sedan,8,1994,"61,828 SAR",2000,"29,368 SAR",74240,7540.0mpl,2WD,standard,Riyadh,2,2,Red,individual,0
Fourd,suv,4,1991,,2000,"29,888 SAR",90522,8.41,4WD,STANDARD,Jeddah,3,1,Black,company,0
Masda,suv,4,2006,,2006,"60,338 SAR",943,12020.0mpl,2WD,STANDARD,Jeddah,3,-3,Blue,company,0
Fourd,sedan,4,2002,"101,418 SAR",2008,"41,085 SAR",269545,10.41,2WD,premium,Madinah,5,4,Gray,individual,1
Masda,crossover,8,2000,,2005,"31,761 SAR",189646,7.86,4WD,STANDARD,Madinah,9,4,Silver Color,individual,0
Huendae,sedan,4,2003,,2010,"28,803 SAR",149284,25580.0mpl,2WD,standard,Dhahran,8,3,Red,individual,1
Masda,sedan,4,2007,"57,129 SAR",2012,"28,073 SAR",43104,10.01,2WD,standard,Jeddah,6,2,Gray,company,0
Geep,sedan,8,1996,"108,068 SAR",2000,"54,378 SAR",161231,7620.0mpl,4WD,premium,Riyadh,13,2,Gray Color,individual,1
Shevy,suv,8,2001,"106,532 SAR",2006,"49,732 SAR",40250,3.85,2WD,standard,Dammam,8,1,Gray,individual,1
Toyoda,suv,4,2001,"127,838 SAR",2005,"74,161 SAR",137507,9830.0mpl,2WD,premium,Dhahran,5,3,Blue,individual,0
Toyoda,crossover,8,2000,"71,618 SAR",2009,"22,237 SAR",97205,7870.0mpl,2WD,standard,Dammam,4,-3,Color Black,individual,0
BeEmW,sedan,4,2002,"72,441 SAR",2008,"30,968 SAR",58858,11.07,2WD,STANDARD,Makkah,5,-5,Color Black,individual,0
Wolksvagon,suv,4,2001,"109,576 SAR",2005,"66,912 SAR",41660,12.39,4WD,standard,Makkah,10,1,Brown,individual,0
Shevy,sedan,4,1999,,2003,"34,435 SAR",87004,8510.0mpl,2WD,standard,Riyadh,10,3,White Color,individual,0
BeEmW,sedan,4,2005,"76,875 SAR",2011,"32,864 SAR",60001,6.51,2WD,standard,Makkah,7,1,Silver,individual,0
Masda,sedan,6,1997,"46,866 SAR",2002,"24,066 SAR",116360,18.63,2WD,STANDARD,Jeddah,4,4,Blue,individual,0
JournalMotors,sedan,4,2005,"76,875 SAR",2006,"52,582 SAR",7404,6.68,2WD,standard,Dammam,5,1,Color Black,individual,0
Mercetes,sedan,8,1994,,2002,"15,858 SAR",76084,4460.0mpl,2WD,STANDARD,Riyadh,11,-2,Black,individual,0
JournalMotors,sedan,4,2000,"83,554 SAR",2004,"42,043 SAR",188836,8.46,4WD,standard,Makkah,13,-2,Gray,individual,1
Nesshan,crossover,4,2004,,2009,"36,767 SAR",198750,18150.0mpl,2WD,standard,Dhahran,3,4,Silver,individual,1
Shevy,sedan,4,1992,"71,313 SAR",1997,"31,705 SAR",95791,8.32,4WD,standard,Riyadh,6,2,White,individual,0
Fourd,suv,8,1997,,2002,"43,757 SAR",52125,5.18,2WD,standard,Makkah,5,1,Color Black,company,0
Fourd,sedan,6,2005,"129,151 SAR",2009,"68,407 SAR",80765,5.73,4WD,premium,Makkah,5,3,Color Black,individual,1
Shevy,suv,6,2006,"141,144 SAR",2009,"75,665 SAR",104312,3.7,4WD,STANDARD,Jeddah,6,2,Black,company,0
Shevy,suv,6,2000,"104,443 SAR",2005,"46,435 SAR",90670,2.9,2WD,standard,Riyadh,5,3,Color Blue,company,0
Wolksvagon,suv,6,2003,,2008,"51,130 SAR",104474,7.13,2WD,standard,Dammam,4,2,Gray,individual,0
Fourd,suv,6,1994,"92,742 SAR",1999,"41,233 SAR",99993,6.56,2WD,STANDARD,Riyadh,8,2,White,individual,0
Nesshan,suv,4,1996,"82,705 SAR",1998,"57,054 SAR",22745,13.66,4WD,standard,Riyadh,5,-2,Black,individual,0
Honta,sedan,6,2003,"73,890 SAR",2007,"39,039 SAR",158022,12.15,2WD,premium,Makkah,7,-2,Gray Color,individual,1
Honta,sedan,4,2003,,2006,"50,693 SAR",28870,17.68,2WD,premium,Dhahran,5,2,Gray,individual,0
JournalMotors,suv,4,1998,"100,387 SAR",1999,"68,664 SAR",12126,2950.0mpl,2WD,standard,Makkah,4,2,White Color,individual,0
Huendae,suv,4,2004,"96,902 SAR",2006,"77,989 SAR",36915,14910.0mpl,4WD,standard,Jeddah,3,2,Gray,individual,1
Shevy,suv,4,2001,"106,532 SAR",2008,"50,602 SAR",155382,4570.0mpl,2WD,standard,Madinah,3,-3,White,individual,0
Fourd,sedan,4,1991,,1997,"31,382 SAR",110085,3.87,4WD,STANDARD,Riyadh,7,2,Gray,individual,1
Toyoda,crossover,6,2001,"102,271 SAR",2006,"57,794 SAR",84799,9.52,2WD,premium,Dammam,4,-2,Gray,individual,1
Shevy,sedan,4,2003,"88,668 SAR",2011,"22,743 SAR",157057,5830.0mpl,4WD,STANDARD,Riyadh,7,3,Silver,individual,0
Toyoda,suv,4,1994,"79,493 SAR",2002,"28,659 SAR",301348,15700.0mpl,2WD,STANDARD,Riyadh,1,3,Color Blue,individual,0
JournalMotors,sedan,4,2001,,2008,"34,612 SAR",348267,7550.0mpl,4WD,standard,Jeddah,7,2,Red,individual,0
Toyoda,suv,8,1998,"86,046 SAR",2006,"26,717 SAR",158541,7370.0mpl,2WD,STANDARD,Makkah,10,-3,Gray Color,individual,0
Huendae,crossover,4,1998,,2002,"36,940 SAR",79477,16.77,2WD,standard,Madinah,11,1,Gray Color,individual,1
Shevy,suv,4,2005,"115,313 SAR",2013,"34,507 SAR",163982,2.19,2WD,standard,Dammam,0,-3,White,individual,1
JournalMotors,suv,8,2006,"197,602 SAR",2011,"87,853 SAR",108288,2.58,4WD,premium,Makkah,6,1,Gray Color,individual,0
Toyoda,suv,4,2000,"125,332 SAR",2002,"94,694 SAR",35356,11.85,2WD,PREMIUM,Makkah,7,-3,White,individual,0
Huendae,crossover,4,1999,"58,511 SAR",2003,"35,885 SAR",76407,21440.0mpl,2WD,standard,Madinah,8,2,Black,individual,0
JournalMotors,suv,4,2004,"135,663 SAR",2010,"55,096 SAR",228663,5250.0mpl,4WD,STANDARD,Dhahran,11,3,Brown,company,0
Shevy,crossover,8,2001,"143,179 SAR",2002,"103,375 SAR",39542,3.46,4WD,premium,Makkah,2,2,Silver Color,individual,0
JournalMotors,suv,4,2005,"115,313 SAR",2006,"74,930 SAR",42643,5190.0mpl,2WD,standard,Dammam,10,2,Gray,individual,0
