Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Honta,suv,6,1999,"73,139 SAR",2004,"34,143 SAR",207353,11.41,2WD,standard,Makkah,8,3,Black,individual,0
Fourd,suv,4,1996,"96,489 SAR",2000,"54,082 SAR",34513,3.07,2WD,standard,Jeddah,1,3,Red,individual,0
Toyoda,crossover,4,1992,"73,350 SAR",1993,"63,770 SAR",16051,10.85,4WD,standard,Riyadh,8,3,White,company,1
Honta,crossover,4,1991,"83,897 SAR",1994,"52,471 SAR",149676,11.66,4WD,premium,Jeddah,1,4,Red,individual,0
Masda,suv,4,1996,"68,921 SAR",2003,"36,183 SAR",120194,10.32,2WD,standard,Dammam,3,2,Gray,individual,0
Toyoda,suv,6,1997,"84,359 SAR",2003,"43,655 SAR",66360,9.35,2WD,standard,Dhahran,11,3,White,individual,0
Shevy,crossover,4,2002,"86,930 SAR",2008,"37,162 SAR",60943,4.47,2WD,standard,Dhahran,5,2,Black,individual,0
Honta,crossover,8,2008,"69,926 SAR",2011,"45,793 SAR",38378,12.45,2WD,standard,Dammam,7,1,Silver,company,1
Geep,suv,8,2001,"127,838 SAR",2005,"67,712 SAR",92268,2.71,4WD,standard,Riyadh,11,2,White,individual,1
Toyoda,crossover,6,1998,"82,604 SAR",2003,"44,457 SAR",48052,14.43,4WD,standard,Dammam,8,2,Brown,individual,0
Masda,crossover,8,1992,"71,313 SAR",1998,"35,380 SAR",73209,6.82,2WD,premium,Jeddah,4,2,Silver,individual,1
Toyoda,sedan,6,1999,"58,511 SAR",2003,"37,516 SAR",82196,12.62,2WD,standard,Dammam,9,1,Gray,individual,1
Honta,suv,4,1998,"71,705 SAR",2002,"44,421 SAR",40735,8.69,2WD,standard,Riyadh,3,2,Red,individual,0
Toyoda,crossover,4,2006,"96,784 SAR",2009,"62,807 SAR",109475,11.65,4WD,standard,Dammam,14,2,Silver,individual,0
Geep,sedan,8,2006,"109,778 SAR",2010,"61,530 SAR",80297,5.8,2WD,premium,Riyadh,3,3,White,company,0
JournalMotors,suv,4,1997,"118,103 SAR",2004,"56,098 SAR",91484,7.78,4WD,standard,Makkah,2,1,Red,individual,0
Fourd,suv,4,1998,"100,387 SAR",2003,"49,467 SAR",205322,2.3,2WD,standard,Dammam,1,3,Silver,individual,1
JournalMotors,suv,4,2004,"113,052 SAR",2009,"47,749 SAR",201144,5.2,2WD,standard,Madinah,6,2,Gray,individual,0
Toyoda,sedan,4,2003,"76,001 SAR",2004,"66,424 SAR",41629,14.88,4WD,standard,Jeddah,3,3,Silver,individual,0
JournalMotors,suv,4,1999,"102,395 SAR",1999,"63,034 SAR",1023,6.01,2WD,standard,Madinah,10,3,Black,company,0
JournalMotors,sedan,4,1998,"112,434 SAR",2003,"55,542 SAR",55497,8.41,4WD,premium,Riyadh,2,3,Black,company,0
Huendae,crossover,4,1995,"75,678 SAR",1999,"40,084 SAR",152792,10.08,2WD,premium,Dhahran,13,1,Gray,individual,0
JournalMotors,crossover,4,1999,"98,299 SAR",2002,"64,715 SAR",67655,7.05,4WD,standard,Makkah,2,1,Black,company,1
Nesshan,sedan,4,2000,"69,628 SAR",2003,"50,423 SAR",120197,20.05,2WD,premium,Madinah,3,2,Blue,individual,0
Honta,sedan,4,2001,"60,875 SAR",2006,"36,470 SAR",197495,16.53,4WD,standard,Jeddah,1,1,White,individual,1
Shevy,suv,4,1991,"122,351 SAR",1998,"54,920 SAR",137010,8.54,2WD,premium,Madinah,7,2,Silver,individual,1
JournalMotors,crossover,4,2006,"94,096 SAR",2006,"55,029 SAR",841,7.05,2WD,standard,Madinah,4,4,Brown,individual,0
Masda,crossover,4,1994,"63,595 SAR",2000,"35,056 SAR",106794,12.43,4WD,standard,Riyadh,3,2,Blue,individual,1
Honta,suv,6,2004,"113,052 SAR",2005,"89,740 SAR",21490,13.49,2WD,premium,Dammam,5,3,Gray,individual,1
JournalMotors,sedan,4,2005,"76,875 SAR",2012,"32,864 SAR",81885,6.72,2WD,standard,Dammam,9,1,Silver,individual,0
Fourd,sedan,4,1995,"63,065 SAR",1997,"41,548 SAR",91910,12.73,2WD,standard,Jeddah,1,1,Brown,individual,0
Honta,suv,4,2006,"84,014 SAR",2008,"57,377 SAR",104226,17.97,2WD,standard,Dhahran,11,1,Silver,individual,0
Fourd,sedan,4,2005,"76,875 SAR",2011,"32,864 SAR",59043,4.95,2WD,standard,Makkah,6,1,Gray,individual,0
Fourd,crossover,6,2000,"116,976 SAR",2004,"59,008 SAR",64357,4.47,2WD,premium,Dhahran,11,2,Silver,individual,0
Masda,sedan,4,2004,"53,834 SAR",2010,"25,436 SAR",124535,9.74,2WD,standard,Madinah,6,1,Silver,company,0
Mercetes,suv,4,2006,"117,620 SAR",2006,"72,406 SAR",1009,5.26,2WD,standard,Madinah,11,2,White,individual,0
JournalMotors,suv,8,2004,"113,052 SAR",2004,"69,594 SAR",884,2.42,2WD,standard,Riyadh,4,3,Silver,company,0
Toyoda,suv,6,2004,"96,902 SAR",2009,"52,152 SAR",102994,9.38,2WD,standard,Makkah,5,1,Brown,company,0
Nesshan,sedan,4,2005,"76,875 SAR",2009,"55,005 SAR",92691,22.92,2WD,premium,Madinah,3,3,White,individual,1
Shevy,sedan,6,1999,"68,263 SAR",2005,"27,723 SAR",244631,10.71,2WD,standard,Riyadh,4,1,Black,company,0
Huendae,crossover,8,2008,"69,926 SAR",2011,"43,612 SAR",37130,10.85,2WD,standard,Madinah,9,2,Red,individual,0
JournalMotors,suv,4,1991,"87,393 SAR",1993,"54,546 SAR",35737,4.5,2WD,standard,Madinah,10,3,Blue,individual,0
Nesshan,sedan,8,2000,"69,628 SAR",2003,"43,426 SAR",35579,10.59,2WD,premium,Jeddah,5,2,Black,individual,0
Masda,sedan,4,1997,"46,866 SAR",2001,"27,436 SAR",88786,8.48,2WD,standard,Makkah,8,2,Red,individual,1
Wolksvagon,crossover,4,2002,"125,179 SAR",2006,"80,262 SAR",73466,9.57,4WD,premium,Riyadh,10,3,Black,individual,1
Fourd,suv,4,2004,"135,663 SAR",2009,"70,368 SAR",57481,5.74,4WD,standard,Dhahran,2,2,Black,individual,1
Nesshan,sedan,4,1998,"47,803 SAR",2005,"21,457 SAR",301114,14.48,2WD,standard,Dhahran,8,1,Silver,company,0
Shevy,suv,4,2001,"127,838 SAR",2006,"56,836 SAR",62983,5.63,4WD,standard,Makkah,4,2,Silver,individual,0
Huendae,sedan,8,1991,"41,616 SAR",1994,"25,955 SAR",26392,13.64,2WD,standard,Jeddah,4,2,Gray,company,0
Toyoda,suv,4,2000,"107,427 SAR",2003,"77,460 SAR",100433,9.35,4WD,standard,Jeddah,3,1,Black,individual,0
Toyoda,sedan,4,2005,"110,701 SAR",2009,"70,979 SAR",50461,14.17,4WD,premium,Madinah,5,2,White,individual,1
Huendae,suv,4,2004,"80,752 SAR",2004,"57,690 SAR",1089,9.26,2WD,standard,Dammam,10,1,Black,company,1
Fourd,suv,6,2006,"117,620 SAR",2014,"31,678 SAR",56775,3.47,2WD,standard,Dhahran,10,2,Gray,individual,1
Toyoda,suv,4,2005,"118,608 SAR",2007,"89,614 SAR",46049,14.15,4WD,standard,Madinah,10,2,Blue,individual,0
BeEmW,sedan,4,1994,"61,828 SAR",2001,"27,753 SAR",87108,5.64,2WD,standard,Dhahran,6,1,Silver,individual,1
Fourd,crossover,4,1997,"78,735 SAR",1999,"49,142 SAR",36897,4.77,2WD,standard,Riyadh,8,1,Gray,individual,0
Shevy,sedan,4,2003,"124,136 SAR",2008,"58,257 SAR",202574,7.1,4WD,premium,Riyadh,3,3,Black,company,0
Fourd,suv,6,2004,"135,663 SAR",2007,"76,554 SAR",38610,3.48,4WD,standard,Dammam,7,1,Blue,company,0
JournalMotors,suv,6,2003,"110,836 SAR",2007,"59,017 SAR",199854,4.42,2WD,standard,Makkah,2,1,Gray,individual,0
Fourd,suv,6,2002,"182,553 SAR",2005,"108,165 SAR",26391,5.22,4WD,premium,Madinah,6,3,Silver,company,1
Huendae,suv,4,1992,"63,672 SAR",1998,"27,076 SAR",312563,12.28,2WD,standard,Dhahran,5,2,Gray,individual,0
Shevy,sedan,8,1993,"72,739 SAR",1997,"40,770 SAR",24074,5.48,4WD,standard,Dhahran,2,1,Blue,individual,0
Honta,sedan,4,2005,"65,893 SAR",2009,"38,391 SAR",147367,22.93,4WD,standard,Makkah,5,1,Red,individual,0
JournalMotors,suv,4,2000,"125,332 SAR",2002,"74,314 SAR",25604,2.97,4WD,standard,Dammam,12,4,Gray,individual,0
Nesshan,sedan,4,2006,"56,009 SAR",2006,"41,919 SAR",948,18.95,2WD,standard,Riyadh,4,1,Blue,individual,0
Huendae,sedan,6,2001,"50,729 SAR",2005,"28,283 SAR",69645,11.15,2WD,standard,Riyadh,6,1,Gray,individual,0
Toyoda,sedan,4,1995,"64,866 SAR",2002,"38,771 SAR",360099,18.43,4WD,standard,Riyadh,3,2,White,company,1
Huendae,sedan,4,2000,"49,734 SAR",2007,"27,141 SAR",87196,16.88,2WD,standard,Madinah,5,3,White,individual,1
Shevy,crossover,6,2006,"158,081 SAR",2009,"89,205 SAR",54132,7.46,4WD,premium,Madinah,7,2,Blue,individual,0
JournalMotors,sedan,4,1997,"91,858 SAR",2002,"40,840 SAR",99857,4.38,2WD,premium,Riyadh,4,2,Silver,individual,0
Huendae,sedan,4,1999,"58,511 SAR",2003,"39,772 SAR",157315,15.18,4WD,standard,Riyadh,1,3,White,individual,1
Honta,suv,4,1998,"86,046 SAR",2001,"56,350 SAR",59406,9.76,4WD,standard,Riyadh,6,2,Red,individual,1
Shevy,crossover,4,2005,"92,251 SAR",2008,"52,057 SAR",59372,5.75,2WD,standard,Dammam,6,2,Brown,individual,0
Toyoda,sedan,4,1994,"63,595 SAR",1995,"57,922 SAR",22944,20.1,4WD,standard,Makkah,5,2,Brown,individual,0
Toyoda,suv,4,2002,"93,139 SAR",2007,"52,633 SAR",32641,8.09,2WD,standard,Makkah,8,1,Gray,company,1
Shevy,sedan,8,1993,"60,616 SAR",2001,"15,548 SAR",143247,3.83,2WD,standard,Dammam,8,3,White,company,0
Fourd,crossover,4,2005,"110,701 SAR",2007,"69,094 SAR",44798,6.45,4WD,standard,Jeddah,9,2,Gray,individual,0
Shevy,suv,6,2000,"104,443 SAR",2005,"46,435 SAR",69411,2.47,2WD,standard,Dammam,7,3,Gray,individual,0
Mercetes,sedan,4,2001,"85,225 SAR",2009,"24,228 SAR",300980,8.53,4WD,standard,Madinah,3,1,White,individual,1
Honta,sedan,8,1995,"63,065 SAR",1997,"53,173 SAR",17427,15.71,2WD,premium,Jeddah,2,2,Blue,individual,0
Honta,sedan,6,2007,"57,129 SAR",2013,"26,993 SAR",105327,12.88,2WD,standard,Dhahran,5,3,Brown,individual,0
Toyoda,sedan,4,2007,"82,266 SAR",2011,"52,496 SAR",189260,19.18,4WD,standard,Jeddah,9,2,White,individual,0
Huendae,suv,6,1996,"96,489 SAR",2002,"43,311 SAR",54489,10.11,2WD,premium,Dhahran,12,4,White,individual,0
Fourd,suv,6,1995,"94,597 SAR",1998,"59,312 SAR",30541,6.1,2WD,standard,Dhahran,3,1,White,company,0
Nesshan,suv,4,2006,"100,817 SAR",2009,"56,748 SAR",127475,13.19,4WD,standard,Makkah,9,4,Red,individual,0
Masda,sedan,4,2003,"52,779 SAR",2007,"30,898 SAR",49977,14.78,2WD,standard,Makkah,9,1,Black,individual,1
Honta,suv,8,1992,"63,672 SAR",1996,"35,500 SAR",89623,6.99,2WD,standard,Makkah,6,1,Black,individual,0
Fourd,sedan,4,2000,"97,480 SAR",2004,"54,637 SAR",80589,6.3,2WD,premium,Dhahran,1,2,White,individual,0
Shevy,sedan,4,2000,"116,976 SAR",2004,"61,958 SAR",93494,7.7,4WD,premium,Madinah,7,3,Black,company,1
Shevy,crossover,4,2001,"85,225 SAR",2007,"34,612 SAR",218477,9.17,2WD,standard,Dammam,6,2,Gray,individual,0
Masda,suv,4,2003,"79,168 SAR",2004,"62,544 SAR",45783,15.1,2WD,standard,Madinah,8,3,White,individual,0
Huendae,crossover,4,1994,"52,995 SAR",2000,"23,788 SAR",62936,14.9,2WD,standard,Riyadh,5,4,Red,individual,0
Toyoda,suv,4,2005,"98,840 SAR",2011,"46,162 SAR",290222,10.85,2WD,standard,Makkah,9,4,Black,individual,0
Huendae,crossover,8,2003,"76,001 SAR",2004,"57,456 SAR",13791,11.24,4WD,standard,Jeddah,11,2,Black,individual,0
Huendae,suv,4,1996,"82,705 SAR",1998,"57,054 SAR",34998,12.12,4WD,standard,Dammam,9,1,White,individual,0
Wolksvagon,sedan,4,2005,"65,893 SAR",2009,"46,474 SAR",75699,18.78,2WD,standard,Dammam,12,1,Gray,individual,1
Honta,suv,4,1993,"77,935 SAR",1995,"53,629 SAR",77630,11.56,4WD,standard,Jeddah,5,2,Silver,individual,1
Masda,suv,8,2004,"80,752 SAR",2008,"45,023 SAR",30066,7.21,2WD,standard,Riyadh,11,3,Gray,individual,0
Shevy,sedan,4,2000,"69,628 SAR",2005,"29,408 SAR",227789,6.54,2WD,standard,Jeddah,12,1,White,individual,0
Toyoda,suv,8,2004,"96,902 SAR",2008,"59,337 SAR",175695,7.0,2WD,standard,Jeddah,2,4,Black,individual,0
Wolksvagon,crossover,4,2009,"85,590 SAR",2010,"70,868 SAR",22270,9.67,2WD,standard,Jeddah,4,2,White,company,0
JournalMotors,suv,4,2008,"146,846 SAR",2014,"65,915 SAR",67006,2.35,4WD,standard,Makkah,9,2,Gray,individual,1
Fourd,suv,4,1999,"102,395 SAR",2006,"48,637 SAR",134321,3.31,2WD,standard,Makkah,3,2,Black,individual,0
JournalMotors,sedan,8,1996,"64,326 SAR",2000,"37,857 SAR",73989,4.93,2WD,standard,Madinah,3,2,Black,individual,1
JournalMotors,sedan,8,1992,"71,313 SAR",1995,"40,141 SAR",141122,5.21,4WD,standard,Riyadh,4,3,Red,individual,1
Toyoda,sedan,4,1997,"67,487 SAR",2000,"50,710 SAR",25472,18.65,4WD,standard,Madinah,6,2,Blue,individual,0
JournalMotors,sedan,6,2000,"69,628 SAR",2003,"39,291 SAR",66919,4.68,2WD,standard,Jeddah,7,1,Gray,individual,0
JournalMotors,suv,8,2006,"141,144 SAR",2009,"75,665 SAR",145178,4.05,4WD,standard,Madinah,10,1,White,company,0
Toyoda,crossover,4,1998,"96,372 SAR",2002,"68,657 SAR",79389,10.71,2WD,premium,Madinah,1,1,Blue,individual,1
JournalMotors,sedan,6,1995,"63,065 SAR",2002,"25,612 SAR",292932,7.35,2WD,standard,Makkah,4,1,Gray,individual,0
Nesshan,suv,8,2006,"84,014 SAR",2009,"58,221 SAR",32625,7.69,2WD,standard,Jeddah,1,2,Silver,individual,0
Shevy,sedan,4,2002,"101,418 SAR",2006,"51,160 SAR",85511,7.39,2WD,premium,Jeddah,8,1,White,individual,0
Toyoda,sedan,8,2003,"63,334 SAR",2011,"18,681 SAR",290569,9.28,2WD,standard,Madinah,12,2,Gray,company,0
JournalMotors,sedan,4,2000,"69,628 SAR",2004,"35,123 SAR",80801,7.16,2WD,standard,Riyadh,6,2,Red,individual,0
JournalMotors,crossover,4,1993,"101,835 SAR",1999,"45,953 SAR",220108,4.41,2WD,premium,Dammam,2,1,Silver,individual,0
Masda,crossover,4,2000,"59,681 SAR",2005,"30,793 SAR",105924,10.9,2WD,standard,Madinah,5,2,Gray,individual,1
Nesshan,suv,4,2003,"95,002 SAR",2006,"53,475 SAR",119328,9.45,4WD,standard,Jeddah,8,4,Red,individual,0
Toyoda,crossover,6,2005,"94,886 SAR",2013,"29,388 SAR",279855,12.95,4WD,standard,Madinah,7,3,Silver,individual,1
JournalMotors,sedan,8,2008,"97,897 SAR",2012,"52,127 SAR",169830,5.25,4WD,standard,Dhahran,3,1,Black,company,0
Masda,suv,6,1995,"67,569 SAR",1999,"37,578 SAR",195791,8.91,2WD,standard,Riyadh,6,2,White,individual,1
Masda,sedan,4,2004,"64,601 SAR",2009,"38,799 SAR",96857,15.15,4WD,standard,Dammam,1,2,Gray,individual,0
Mercetes,crossover,4,2002,"121,702 SAR",2006,"68,213 SAR",80244,3.02,2WD,premium,Dammam,2,1,Silver,individual,0
JournalMotors,sedan,8,1996,"64,326 SAR",2002,"30,554 SAR",118874,4.98,2WD,standard,Dammam,0,3,Gray,individual,0
Fourd,crossover,4,1995,"75,678 SAR",1995,"46,587 SAR",849,6.36,2WD,standard,Makkah,11,3,Black,individual,0
Toyoda,suv,4,1998,"86,046 SAR",2001,"65,308 SAR",56857,12.42,2WD,standard,Jeddah,2,2,White,individual,0
Honta,sedan,4,2005,"54,911 SAR",2011,"28,539 SAR",129721,22.42,2WD,standard,Dhahran,8,2,Red,individual,0
Toyoda,crossover,8,2003,"91,202 SAR",2004,"75,515 SAR",18645,10.87,4WD,standard,Makkah,4,2,White,individual,0
Shevy,crossover,4,1998,"112,434 SAR",2001,"70,319 SAR",105078,5.72,2WD,premium,Dammam,3,3,Blue,individual,1
Huendae,suv,4,2000,"74,602 SAR",2005,"40,732 SAR",111466,9.03,2WD,standard,Dammam,3,3,Silver,individual,0
Fourd,suv,4,1994,"92,742 SAR",1996,"57,884 SAR",23631,8.36,2WD,standard,Jeddah,5,2,Black,individual,0
Shevy,suv,4,1997,"118,103 SAR",2002,"52,508 SAR",102824,6.16,4WD,standard,Riyadh,9,2,Red,individual,0
Fourd,crossover,4,2000,"83,554 SAR",2006,"37,505 SAR",309629,8.62,2WD,standard,Dammam,3,3,Silver,individual,1
Shevy,sedan,4,2005,"76,875 SAR",2009,"38,779 SAR",76641,6.64,2WD,standard,Dammam,13,2,Black,individual,0
Fourd,suv,6,2004,"135,663 SAR",2008,"65,013 SAR",166468,4.12,4WD,standard,Riyadh,5,3,Blue,individual,0
Nesshan,sedan,4,2002,"72,441 SAR",2006,"49,364 SAR",89293,17.63,2WD,premium,Madinah,2,3,Gray,individual,0
Shevy,sedan,4,2004,"126,619 SAR",2009,"59,422 SAR",206021,3.98,4WD,premium,Dhahran,2,3,Silver,company,0
Shevy,suv,8,1997,"98,419 SAR",1998,"67,318 SAR",11171,1.7,2WD,standard,Madinah,6,1,Gray,individual,0
Masda,crossover,6,1993,"51,956 SAR",1996,"32,404 SAR",50098,8.03,2WD,standard,Madinah,4,1,Silver,individual,0
BeEmW,sedan,6,1995,"63,065 SAR",2000,"29,440 SAR",58486,8.31,2WD,standard,Madinah,11,2,White,individual,1
Nesshan,suv,4,1996,"82,705 SAR",1998,"59,906 SAR",36647,9.66,4WD,standard,Makkah,12,1,Gray,individual,1
Fourd,suv,6,1999,"102,395 SAR",2002,"54,603 SAR",155832,3.83,2WD,standard,Riyadh,7,3,Gray,company,1
Masda,suv,4,1999,"102,395 SAR",2001,"67,105 SAR",85892,7.6,2WD,premium,Riyadh,9,1,Gray,individual,0
Toyoda,sedan,8,2000,"71,618 SAR",2005,"38,544 SAR",49514,10.54,4WD,standard,Madinah,7,1,Gray,individual,0
Huendae,sedan,6,1998,"80,310 SAR",1998,"63,112 SAR",904,15.87,4WD,premium,Jeddah,5,1,White,individual,1
Shevy,sedan,6,1998,"66,925 SAR",2000,"41,771 SAR",36914,5.51,2WD,standard,Dammam,11,2,Red,company,0
Wolksvagon,crossover,8,2008,"100,694 SAR",2012,"61,488 SAR",88423,7.87,4WD,standard,Jeddah,8,3,Black,individual,0
Huendae,suv,8,2006,"84,014 SAR",2009,"52,268 SAR",109910,9.59,2WD,standard,Jeddah,5,2,Gray,individual,1
Nesshan,sedan,6,1999,"48,759 SAR",2006,"28,158 SAR",66453,18.45,2WD,standard,Jeddah,2,3,Silver,individual,0
Geep,suv,6,2000,"104,443 SAR",2008,"26,789 SAR",98013,3.98,2WD,standard,Dammam,8,2,Red,individual,0
Shevy,suv,4,1996,"96,489 SAR",2003,"41,249 SAR",128943,3.95,2WD,standard,Jeddah,12,3,White,company,0
BeEmW,suv,8,2001,"149,145 SAR",2003,"98,260 SAR",81712,4.74,2WD,premium,Riyadh,3,2,Silver,individual,0
Toyoda,sedan,6,2007,"68,555 SAR",2010,"51,512 SAR",60037,18.56,2WD,standard,Riyadh,12,2,Silver,individual,0
Fourd,sedan,4,2004,"75,368 SAR",2009,"33,508 SAR",52167,12.25,2WD,standard,Madinah,9,1,Black,individual,0
Toyoda,sedan,4,1994,"52,995 SAR",1999,"34,860 SAR",50258,15.76,2WD,standard,Riyadh,3,3,Black,individual,0
Wolksvagon,suv,6,1991,"74,908 SAR",1998,"45,225 SAR",141339,5.38,2WD,standard,Dhahran,3,1,Blue,individual,1
Huendae,crossover,4,2007,"68,555 SAR",2013,"30,772 SAR",236035,13.85,2WD,standard,Dammam,10,2,Silver,individual,0
Shevy,sedan,4,1998,"66,925 SAR",2007,"19,073 SAR",169812,8.62,2WD,standard,Dammam,3,2,Gray,company,0
Fourd,suv,4,2001,"106,532 SAR",2002,"76,916 SAR",39341,5.05,2WD,standard,Riyadh,3,2,Red,individual,0
Huendae,suv,4,1999,"73,139 SAR",2004,"37,557 SAR",244661,15.5,2WD,standard,Madinah,4,1,White,individual,0
Shevy,crossover,6,2007,"134,369 SAR",2016,"34,465 SAR",201215,5.93,2WD,premium,Dhahran,4,1,Silver,individual,0
Toyoda,crossover,4,2006,"112,915 SAR",2012,"64,276 SAR",137891,15.15,2WD,premium,Dammam,5,1,White,individual,0
Shevy,suv,4,2000,"104,443 SAR",2003,"68,760 SAR",55595,8.48,2WD,standard,Madinah,2,2,Blue,company,1
Honta,crossover,6,1995,"75,678 SAR",1999,"42,194 SAR",50187,9.04,2WD,premium,Riyadh,9,3,White,company,0
Shevy,sedan,6,2008,"114,213 SAR",2010,"67,721 SAR",98071,6.0,2WD,premium,Madinah,14,3,Black,individual,0
Fourd,suv,6,2002,"130,395 SAR",2004,"90,202 SAR",73772,3.99,4WD,standard,Jeddah,3,1,Black,individual,1
Toyoda,suv,8,1995,"97,300 SAR",1997,"81,683 SAR",26506,6.25,4WD,standard,Madinah,3,3,White,individual,0
Fourd,sedan,6,1995,"63,065 SAR",2003,"17,973 SAR",74421,7.16,2WD,standard,Riyadh,3,2,White,individual,0
Fourd,sedan,4,1995,"63,065 SAR",1999,"28,711 SAR",164622,10.63,2WD,standard,Jeddah,7,4,Blue,individual,0
BeEmW,sedan,6,1996,"90,056 SAR",2003,"38,498 SAR",72659,6.64,2WD,premium,Riyadh,5,2,White,individual,0
Huendae,sedan,4,1994,"44,163 SAR",1999,"24,112 SAR",120290,13.3,2WD,standard,Dammam,3,2,Brown,individual,0
Shevy,sedan,4,1998,"66,925 SAR",2003,"31,242 SAR",47355,9.44,2WD,standard,Jeddah,10,3,Gray,individual,1
Fourd,sedan,4,2005,"107,626 SAR",2010,"53,167 SAR",49886,10.81,2WD,premium,Dammam,1,1,Black,individual,0
Honta,suv,4,2007,"85,694 SAR",2016,"29,692 SAR",117675,15.62,2WD,standard,Dammam,3,2,White,individual,0
Toyoda,crossover,4,1996,"66,164 SAR",1996,"56,947 SAR",1050,15.14,2WD,standard,Madinah,8,2,Blue,individual,1
JournalMotors,sedan,4,2004,"75,368 SAR",2012,"21,426 SAR",381037,5.38,2WD,standard,Makkah,3,1,Silver,individual,1
Shevy,suv,8,2002,"182,553 SAR",2010,"46,707 SAR",354038,3.41,4WD,premium,Jeddah,9,2,Blue,individual,1
Nesshan,sedan,4,2005,"65,893 SAR",2012,"34,593 SAR",163434,14.86,4WD,standard,Makkah,3,1,White,individual,0
Masda,sedan,8,2004,"53,834 SAR",2008,"33,350 SAR",32385,9.42,2WD,standard,Dhahran,1,2,White,individual,0
Toyoda,sedan,4,1999,"58,511 SAR",2004,"34,639 SAR",102417,21.23,2WD,standard,Dammam,6,2,Black,individual,0
Fourd,sedan,4,1995,"63,065 SAR",2001,"25,612 SAR",268738,8.37,2WD,standard,Dhahran,9,1,Black,company,0
Masda,crossover,4,2006,"67,211 SAR",2011,"34,513 SAR",74354,20.02,2WD,standard,Jeddah,4,4,Gray,individual,0
