Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
JournalMotors,crossover,4,1998,"112,434 SAR",2002,"59,868 SAR",161118,8.13,2WD,premium,Madinah,2,1,Red,company,0
Toyoda,sedan,4,2000,"59,681 SAR",2002,"55,112 SAR",21574,18.99,2WD,standard,Dammam,2,2,Black,individual,0
Shevy,suv,4,1999,"143,353 SAR",2003,"72,314 SAR",47568,4.26,2WD,premium,Madinah,12,2,Gray,individual,0
Fourd,crossover,4,1997,"94,482 SAR",2002,"46,674 SAR",90468,3.22,4WD,standard,Dammam,2,1,Black,individual,0
Toyoda,suv,6,2004,"96,902 SAR",2009,"49,545 SAR",178306,7.07,2WD,standard,Dammam,5,2,Silver,individual,0
JournalMotors,crossover,6,2002,"121,702 SAR",2009,"49,426 SAR",283613,5.45,2WD,premium,Riyadh,5,2,Blue,individual,0
Fourd,crossover,6,1997,"94,482 SAR",2002,"42,006 SAR",112768,5.94,4WD,standard,Dhahran,10,2,Gray,individual,0
Shevy,sedan,4,2002,"101,418 SAR",2010,"30,349 SAR",156413,8.8,2WD,premium,Jeddah,2,3,Gray,individual,1
JournalMotors,crossover,4,1999,"81,916 SAR",2004,"38,240 SAR",89618,10.26,2WD,standard,Jeddah,9,1,Black,individual,1
Mercetes,sedan,4,2003,"88,668 SAR",2008,"43,801 SAR",33388,8.29,4WD,standard,Makkah,2,2,White,individual,0
Nesshan,sedan,4,1994,"52,995 SAR",2000,"30,604 SAR",106733,15.2,4WD,standard,Makkah,3,2,Gray,individual,0
Toyoda,sedan,6,2005,"79,072 SAR",2010,"44,471 SAR",203705,15.23,4WD,standard,Jeddah,4,2,Black,individual,0
JournalMotors,suv,6,2007,"143,967 SAR",2011,"72,442 SAR",130835,4.04,4WD,standard,Jeddah,11,3,Black,individual,1
Shevy,sedan,6,1996,"64,326 SAR",1999,"40,332 SAR",62762,6.96,2WD,standard,Madinah,1,3,Gray,company,0
Shevy,sedan,4,1992,"59,427 SAR",1995,"31,857 SAR",103158,10.79,2WD,standard,Riyadh,4,3,Silver,individual,0
Fourd,sedan,4,2004,"90,442 SAR",2009,"44,678 SAR",117758,5.46,4WD,standard,Jeddah,3,2,White,individual,0
Nesshan,suv,4,2000,"74,602 SAR",2004,"48,041 SAR",79962,16.73,2WD,standard,Jeddah,7,2,Blue,individual,1
Masda,crossover,4,1997,"56,239 SAR",1999,"36,856 SAR",75308,12.81,2WD,standard,Jeddah,13,2,Blue,individual,0
Wolksvagon,sedan,4,2003,"76,001 SAR",2005,"57,422 SAR",38200,10.64,4WD,standard,Riyadh,14,3,Gray,company,0
Fourd,sedan,4,2006,"131,734 SAR",2010,"77,528 SAR",44265,11.44,4WD,premium,Madinah,2,1,White,individual,1
Shevy,sedan,8,2003,"73,890 SAR",2005,"46,118 SAR",28289,6.09,2WD,standard,Jeddah,5,3,Blue,individual,0
Huendae,suv,6,2001,"91,313 SAR",2007,"43,145 SAR",128298,12.28,4WD,standard,Makkah,4,2,Blue,company,0
Honta,suv,4,2007,"102,833 SAR",2012,"50,532 SAR",49802,12.89,4WD,standard,Madinah,13,3,Gray,individual,0
Shevy,sedan,4,1997,"65,612 SAR",2000,"38,876 SAR",71013,9.35,2WD,standard,Riyadh,9,2,Black,company,1
JournalMotors,sedan,4,2006,"109,778 SAR",2012,"46,930 SAR",122301,10.15,2WD,premium,Dammam,7,2,White,individual,0
Toyoda,suv,4,2005,"98,840 SAR",2009,"60,356 SAR",55687,8.87,2WD,standard,Madinah,14,3,White,individual,0
Shevy,sedan,8,2003,"73,890 SAR",2007,"35,410 SAR",198359,3.94,2WD,standard,Dammam,5,2,Silver,individual,0
BeEmW,suv,4,2006,"117,620 SAR",2010,"62,300 SAR",81059,7.82,2WD,standard,Jeddah,12,2,Gray,individual,1
Fourd,sedan,4,2005,"76,875 SAR",2008,"45,549 SAR",19548,7.88,2WD,standard,Makkah,5,1,White,individual,1
Fourd,suv,4,2000,"125,332 SAR",2003,"70,724 SAR",59120,6.57,4WD,standard,Dhahran,12,1,Silver,individual,0
Toyoda,crossover,4,2001,"122,725 SAR",2009,"48,902 SAR",149767,17.22,4WD,premium,Makkah,3,2,White,individual,1
Toyoda,suv,4,1993,"77,935 SAR",1996,"59,004 SAR",141022,12.8,2WD,standard,Dhahran,3,2,Red,individual,1
Toyoda,sedan,4,2002,"62,093 SAR",2005,"44,324 SAR",141082,16.26,2WD,standard,Makkah,9,2,Black,individual,0
Nesshan,suv,4,2006,"84,014 SAR",2011,"41,284 SAR",48262,12.86,2WD,standard,Riyadh,10,1,Black,individual,0
JournalMotors,sedan,8,1998,"66,925 SAR",2002,"33,760 SAR",77849,6.08,2WD,standard,Makkah,8,3,Black,company,0
Fourd,suv,8,2003,"133,003 SAR",2010,"56,858 SAR",141215,2.21,4WD,standard,Makkah,8,3,Black,individual,0
Masda,sedan,6,2008,"81,581 SAR",2009,"71,954 SAR",9563,11.61,2WD,premium,Makkah,2,2,Red,company,1
Toyoda,suv,4,2004,"96,902 SAR",2008,"68,706 SAR",140577,16.01,2WD,standard,Jeddah,3,1,Blue,individual,0
Shevy,sedan,8,2002,"101,418 SAR",2005,"60,091 SAR",29217,5.19,2WD,premium,Dammam,9,2,Black,individual,1
Toyoda,crossover,4,2005,"132,841 SAR",2007,"111,241 SAR",20611,10.18,4WD,premium,Dhahran,0,4,Black,individual,1
Toyoda,suv,6,1993,"77,935 SAR",2002,"22,988 SAR",380183,6.31,2WD,standard,Jeddah,7,2,Gray,individual,0
Fourd,suv,4,2004,"158,274 SAR",2012,"40,597 SAR",159032,5.67,2WD,premium,Jeddah,6,2,Red,individual,0
JournalMotors,suv,4,2008,"146,846 SAR",2012,"70,372 SAR",166878,4.39,4WD,standard,Dammam,8,3,Black,individual,0
Huendae,suv,8,1997,"70,299 SAR",1999,"46,070 SAR",84831,5.84,2WD,standard,Makkah,8,3,Blue,individual,0
JournalMotors,sedan,4,1998,"66,925 SAR",2002,"39,387 SAR",63605,3.48,2WD,standard,Jeddah,2,3,Black,individual,1
JournalMotors,crossover,4,2004,"90,442 SAR",2007,"53,588 SAR",52663,7.56,2WD,standard,Madinah,6,1,Black,company,1
Fourd,crossover,8,1999,"81,916 SAR",2001,"53,684 SAR",11660,5.62,2WD,standard,Dammam,8,2,Red,company,1
Toyoda,sedan,4,1998,"57,364 SAR",2003,"35,658 SAR",47269,16.3,2WD,standard,Dhahran,4,3,Brown,company,1
Honta,sedan,8,1995,"45,046 SAR",2000,"22,135 SAR",45298,13.19,2WD,standard,Makkah,9,3,White,individual,0
Shevy,sedan,4,2005,"76,875 SAR",2007,"47,981 SAR",23439,7.04,2WD,standard,Jeddah,13,3,White,individual,0
Nesshan,sedan,8,2003,"52,779 SAR",2006,"38,404 SAR",33366,13.31,2WD,standard,Riyadh,2,1,Gray,individual,1
Honta,sedan,8,2005,"92,251 SAR",2007,"69,828 SAR",86036,15.21,4WD,premium,Makkah,6,3,Blue,individual,1
Nesshan,suv,4,2004,"80,752 SAR",2009,"37,697 SAR",102578,14.15,2WD,standard,Jeddah,6,4,Red,individual,0
Toyoda,crossover,4,1992,"73,350 SAR",1996,"49,767 SAR",75459,14.98,4WD,standard,Makkah,2,3,Black,individual,0
Toyoda,sedan,4,2006,"67,211 SAR",2011,"39,790 SAR",86726,15.79,2WD,standard,Madinah,4,3,Blue,individual,0
JournalMotors,crossover,4,1998,"80,310 SAR",2002,"45,013 SAR",62378,5.55,2WD,standard,Madinah,1,3,Red,individual,0
Toyoda,sedan,6,1996,"66,164 SAR",1999,"45,196 SAR",46830,13.59,4WD,standard,Makkah,5,2,Black,individual,0
Honta,suv,4,2004,"96,902 SAR",2007,"69,805 SAR",60279,18.06,4WD,standard,Makkah,10,2,Red,individual,1
Shevy,crossover,4,2004,"90,442 SAR",2009,"42,221 SAR",43300,10.63,2WD,standard,Madinah,9,3,White,individual,1
Honta,suv,6,1991,"74,908 SAR",1995,"44,085 SAR",177284,11.73,4WD,standard,Madinah,3,3,Gray,individual,0
Honta,suv,4,2000,"89,522 SAR",2007,"48,855 SAR",58842,16.5,4WD,standard,Makkah,6,2,Black,individual,1
JournalMotors,sedan,6,2002,"72,441 SAR",2008,"30,968 SAR",35402,3.57,2WD,standard,Dhahran,7,2,White,individual,0
JournalMotors,crossover,6,2004,"90,442 SAR",2010,"38,663 SAR",66092,5.94,2WD,standard,Dhahran,7,2,White,individual,0
Nesshan,sedan,4,2002,"62,093 SAR",2008,"33,886 SAR",121218,20.46,4WD,standard,Dhahran,5,3,White,individual,1
Fourd,sedan,6,2004,"75,368 SAR",2010,"32,219 SAR",102541,4.37,2WD,standard,Dammam,7,1,Black,company,0
Fourd,sedan,6,2003,"103,447 SAR",2006,"58,375 SAR",21458,4.66,2WD,premium,Riyadh,5,3,Gray,individual,0
Fourd,sedan,4,1996,"90,056 SAR",2001,"40,038 SAR",111138,6.63,2WD,premium,Riyadh,12,1,Blue,individual,0
JournalMotors,sedan,4,1990,"57,120 SAR",1994,"32,015 SAR",33576,11.27,2WD,standard,Dammam,1,1,White,individual,0
Fourd,sedan,4,2002,"121,702 SAR",2008,"52,027 SAR",66940,10.88,4WD,premium,Madinah,5,1,Gray,individual,0
Huendae,suv,8,2006,"84,014 SAR",2010,"46,842 SAR",74474,4.69,2WD,standard,Makkah,8,2,Gray,company,0
Geep,sedan,4,2003,"88,668 SAR",2010,"37,905 SAR",122200,7.33,4WD,standard,Makkah,6,1,Black,individual,0
Toyoda,sedan,4,2008,"97,897 SAR",2012,"65,758 SAR",95808,15.61,2WD,premium,Madinah,12,1,Gray,individual,0
Mercetes,suv,8,1996,"96,489 SAR",1998,"66,915 SAR",12211,4.84,2WD,standard,Madinah,1,2,White,individual,0
Honta,suv,4,2000,"89,522 SAR",2003,"55,834 SAR",28828,13.56,4WD,standard,Dammam,7,3,Blue,individual,0
Huendae,sedan,4,2002,"51,744 SAR",2006,"31,734 SAR",67993,26.57,2WD,standard,Madinah,8,1,Red,individual,0
Huendae,suv,8,2002,"130,395 SAR",2007,"60,872 SAR",175675,8.51,4WD,premium,Riyadh,5,1,Red,individual,0
Toyoda,suv,4,2003,"95,002 SAR",2008,"51,130 SAR",99053,8.74,2WD,standard,Makkah,9,3,Black,individual,0
JournalMotors,sedan,4,2002,"101,418 SAR",2006,"56,844 SAR",88771,8.38,2WD,premium,Jeddah,1,2,Silver,individual,0
Masda,crossover,8,2005,"92,251 SAR",2010,"45,332 SAR",102091,6.27,2WD,premium,Riyadh,4,1,Black,individual,0
Masda,sedan,4,2006,"56,009 SAR",2006,"42,342 SAR",996,10.59,2WD,standard,Madinah,3,2,Gray,individual,0
Fourd,suv,4,2004,"135,663 SAR",2006,"84,674 SAR",18982,3.59,4WD,standard,Dhahran,8,1,Red,individual,0
Masda,crossover,4,2000,"83,554 SAR",2002,"54,757 SAR",72060,13.3,2WD,premium,Dammam,4,1,Gray,individual,0
Fourd,crossover,4,2001,"119,316 SAR",2006,"53,195 SAR",248278,8.74,2WD,premium,Jeddah,3,4,White,individual,0
Shevy,suv,4,2001,"178,974 SAR",2003,"111,706 SAR",27703,4.39,4WD,premium,Makkah,5,2,Red,individual,0
Toyoda,sedan,4,2004,"64,601 SAR",2010,"36,774 SAR",119585,18.66,2WD,standard,Makkah,5,3,Black,company,0
Toyoda,sedan,4,1993,"87,287 SAR",1998,"44,628 SAR",196880,13.22,4WD,premium,Dhahran,12,2,Black,individual,0
Fourd,sedan,4,2007,"79,981 SAR",2013,"30,772 SAR",307762,5.24,2WD,standard,Madinah,14,2,White,individual,0
Huendae,suv,4,1998,"71,705 SAR",2006,"22,361 SAR",59980,15.38,2WD,standard,Dhahran,7,3,White,individual,0
Huendae,sedan,4,1999,"48,759 SAR",2004,"26,356 SAR",90031,19.68,2WD,standard,Makkah,14,3,Black,individual,0
JournalMotors,sedan,4,2005,"76,875 SAR",2009,"40,718 SAR",26293,8.53,2WD,standard,Makkah,6,1,Gray,individual,1
Mercetes,sedan,4,2005,"76,875 SAR",2005,"49,690 SAR",752,10.19,2WD,standard,Riyadh,12,3,Silver,individual,1
Geep,sedan,8,1997,"65,612 SAR",2002,"29,171 SAR",95190,4.03,2WD,standard,Dammam,12,2,Black,individual,0
Toyoda,sedan,8,1996,"66,164 SAR",1999,"50,218 SAR",46619,13.64,4WD,standard,Dhahran,1,2,Black,individual,0
Shevy,crossover,4,2005,"92,251 SAR",2011,"43,819 SAR",83923,7.84,2WD,standard,Jeddah,3,3,Gray,company,0
Huendae,suv,4,2002,"130,395 SAR",2003,"126,509 SAR",9619,17.22,4WD,premium,Dammam,2,1,Gray,individual,1
Fourd,suv,4,2008,"122,372 SAR",2011,"69,054 SAR",48979,3.85,2WD,standard,Dammam,8,2,Gray,individual,0
Nesshan,suv,4,1999,"73,139 SAR",2006,"39,914 SAR",165727,19.78,2WD,standard,Madinah,5,3,Gray,individual,1
Toyoda,crossover,4,1995,"64,866 SAR",1997,"46,559 SAR",83289,14.58,2WD,standard,Makkah,7,1,Black,individual,0
Nesshan,sedan,6,2001,"50,729 SAR",2003,"38,494 SAR",41797,20.4,2WD,standard,Makkah,4,2,Silver,individual,0
Fourd,sedan,4,2009,"83,213 SAR",2013,"39,877 SAR",145257,6.1,2WD,standard,Dhahran,9,3,Blue,individual,0
JournalMotors,crossover,8,2006,"94,096 SAR",2009,"52,965 SAR",28890,3.87,2WD,standard,Dammam,5,4,White,individual,1
Masda,suv,4,2005,"82,367 SAR",2008,"51,372 SAR",52579,9.12,2WD,standard,Jeddah,8,3,Black,company,0
JournalMotors,suv,4,2003,"110,836 SAR",2007,"58,706 SAR",84681,4.1,2WD,standard,Madinah,5,1,Silver,individual,1
Huendae,sedan,4,1998,"47,803 SAR",2005,"26,087 SAR",128525,18.42,2WD,standard,Madinah,5,2,Black,individual,1
JournalMotors,sedan,4,2007,"95,978 SAR",2011,"51,105 SAR",181255,4.93,4WD,standard,Dammam,2,3,Silver,individual,0
BeEmW,sedan,4,1998,"93,695 SAR",2001,"58,746 SAR",30074,9.86,2WD,premium,Jeddah,3,2,Blue,individual,0
Nesshan,crossover,4,2004,"64,601 SAR",2006,"49,021 SAR",30665,16.38,2WD,standard,Jeddah,6,1,Silver,individual,0
Huendae,crossover,4,1996,"77,191 SAR",2001,"39,638 SAR",214489,17.7,2WD,premium,Makkah,6,1,Black,company,0
Masda,suv,4,2005,"98,840 SAR",2010,"48,569 SAR",99149,8.06,4WD,standard,Makkah,4,2,Silver,individual,0
JournalMotors,suv,6,2004,"135,663 SAR",2006,"84,462 SAR",72713,2.4,4WD,standard,Riyadh,6,1,Black,individual,1
Honta,sedan,4,2005,"54,911 SAR",2008,"37,578 SAR",126392,18.68,2WD,standard,Madinah,9,2,White,individual,1
JournalMotors,crossover,6,2000,"100,265 SAR",2004,"48,049 SAR",53790,3.7,4WD,standard,Dammam,10,4,Black,individual,0
Honta,suv,6,1996,"68,921 SAR",2000,"42,589 SAR",175027,11.54,2WD,standard,Dammam,3,2,Black,individual,1
Honta,sedan,4,1997,"46,866 SAR",1999,"37,341 SAR",14704,19.49,2WD,standard,Dammam,8,2,Black,company,1
JournalMotors,suv,6,2000,"125,332 SAR",2005,"58,508 SAR",101433,4.2,4WD,standard,Dhahran,7,2,Gray,individual,1
Nesshan,crossover,4,1999,"58,511 SAR",2005,"27,646 SAR",52972,10.23,2WD,standard,Madinah,8,2,Silver,individual,0
Huendae,crossover,4,1993,"62,348 SAR",1997,"40,150 SAR",36724,22.48,4WD,standard,Dammam,5,2,White,individual,1
Huendae,suv,4,1999,"73,139 SAR",2000,"60,822 SAR",21986,18.36,2WD,standard,Makkah,8,2,Blue,individual,0
JournalMotors,suv,4,2003,"110,836 SAR",2007,"61,968 SAR",139308,5.76,2WD,standard,Madinah,3,1,Black,individual,1
Shevy,sedan,4,2001,"85,225 SAR",2006,"41,995 SAR",232254,13.62,4WD,standard,Dhahran,2,3,Red,individual,1
JournalMotors,suv,4,2003,"110,836 SAR",2007,"62,123 SAR",75040,5.56,2WD,standard,Dammam,3,2,White,individual,0
JournalMotors,suv,6,2005,"138,376 SAR",2013,"37,465 SAR",55178,4.44,4WD,standard,Jeddah,2,4,Silver,individual,0
JournalMotors,sedan,4,2004,"90,442 SAR",2008,"50,692 SAR",73764,4.84,4WD,standard,Jeddah,3,1,Black,company,0
Shevy,sedan,4,1996,"77,191 SAR",1998,"48,178 SAR",39262,7.86,4WD,standard,Madinah,6,2,Gray,individual,0
Toyoda,crossover,8,2003,"91,202 SAR",2003,"67,963 SAR",717,6.41,4WD,standard,Makkah,13,3,Gray,company,0
Toyoda,sedan,4,2004,"64,601 SAR",2010,"33,431 SAR",113050,13.54,2WD,standard,Dhahran,10,1,Silver,individual,0
Toyoda,suv,4,2005,"138,376 SAR",2009,"84,499 SAR",90229,14.77,2WD,premium,Riyadh,11,2,Silver,individual,0
Geep,suv,4,2009,"124,819 SAR",2017,"33,616 SAR",104446,4.25,2WD,standard,Makkah,4,2,Gray,individual,1
Toyoda,sedan,8,2002,"62,093 SAR",2007,"35,089 SAR",59697,9.78,2WD,standard,Riyadh,12,2,Black,individual,1
Nesshan,sedan,4,2004,"64,601 SAR",2007,"42,104 SAR",114326,21.11,4WD,standard,Makkah,5,1,Silver,individual,0
Nesshan,suv,6,2004,"80,752 SAR",2008,"42,772 SAR",70164,6.93,2WD,standard,Dhahran,7,4,Silver,individual,0
Toyoda,crossover,6,2000,"71,618 SAR",2002,"54,110 SAR",38999,14.05,2WD,standard,Makkah,8,2,White,individual,0
Toyoda,sedan,4,2003,"76,001 SAR",2009,"43,263 SAR",61551,20.17,4WD,standard,Dhahran,9,3,White,individual,0
